candidat,ville,date-heure
Hamon,Stains,2017-03-01 10:19:02
fillon,Lille,2017-03-01 10:19:11
fillon,Cannes,2017-03-01 10:20:32
fillon,Paris,2017-03-01 10:22:15
fillon,Haute-Garonne,2017-03-01 10:22:43
Macron,Marseille,2017-03-01 10:22:58
Hamon,Paris,2017-03-01 10:23:03
Hamon,Paris,2017-03-01 10:23:05
fillon,Sahurs,2017-03-01 10:23:23
fillon,Perpignan,2017-03-01 10:24:05
Macron,Paris,2017-03-01 10:24:44
fillon,Marseille,2017-03-01 10:25:00
fillon,Colombes,2017-03-01 10:25:03
Macron,Paris,2017-03-01 10:26:16
fillon,Ramonville-Saint-Agne,2017-03-01 10:26:20
fillon,Stains,2017-03-01 10:26:25
fillon,La Baule-Escoublac,2017-03-01 10:26:32
fillon,Pruniers-en-Sologne,2017-03-01 10:26:34
fillon,Meudon,2017-03-01 10:27:07
fillon,Dunkerque,2017-03-01 10:27:28
fillon,Bordeaux,2017-03-01 10:27:43
fillon,Paris,2017-03-01 10:28:07
Hamon,Paris,2017-03-01 10:28:36
Hamon,Paris,2017-03-01 10:28:36
fillon,Paris,2017-03-01 10:29:32
Lassalle,Paris,2017-03-01 10:29:32
fillon,Lille,2017-03-01 10:31:21
fillon,Sahurs,2017-03-01 10:31:39
fillon,Montpellier,2017-03-01 10:31:56
fillon,Paris,2017-03-01 10:32:11
fillon,La Roche-sur-Yon,2017-03-01 10:32:18
Macron,La Roche-sur-Yon,2017-03-01 10:32:18
fillon,Paris,2017-03-01 10:32:50
fillon,Paris,2017-03-01 10:32:53
fillon,Sahurs,2017-03-01 10:33:10
fillon,Paris,2017-03-01 10:33:14
fillon,Loudun,2017-03-01 10:34:16
Macron,Loudun,2017-03-01 10:34:16
fillon,Fontenay-sous-Bois,2017-03-01 10:34:34
fillon,Lille,2017-03-01 10:35:38
fillon,Paris,2017-03-01 10:35:46
fillon,Paris,2017-03-01 10:35:58
fillon,Paris,2017-03-01 10:38:24
fillon,Saint-Médard-de-Guizières,2017-03-01 10:38:32
fillon,Fontenay-sous-Bois,2017-03-01 10:38:41
fillon,Stains,2017-03-01 10:38:54
fillon,Mirepeisset,2017-03-01 10:40:10
Macron,Mirepeisset,2017-03-01 10:40:10
Hamon,Mirepeisset,2017-03-01 10:40:10
fillon,Rennes,2017-03-01 10:40:13
fillon,Bordeaux,2017-03-01 10:40:26
fillon,Paris,2017-03-01 10:40:28
fillon,La Baule-Escoublac,2017-03-01 10:41:36
fillon,Paris,2017-03-01 10:42:36
fillon,Paris,2017-03-01 10:42:37
fillon,Saint-Brevin-les-Pins,2017-03-01 10:42:44
fillon,Paris,2017-03-01 10:42:56
fillon,Paris,2017-03-01 10:43:14
Macron,Paris,2017-03-01 10:43:14
fillon,Biarritz,2017-03-01 10:43:45
fillon,Marseille,2017-03-01 10:44:25
Macron,Marseille,2017-03-01 10:44:25
fillon,Montpellier,2017-03-01 10:44:25
fillon,France,2017-03-01 10:44:29
fillon,Paris,2017-03-01 10:45:03
fillon,Toulouse,2017-03-01 10:46:04
fillon,Toulouse,2017-03-01 10:46:30
fillon,Epinay-sous-Sénart,2017-03-01 10:46:38
fillon,Panazol,2017-03-01 10:46:39
fillon,Perros-Guirec,2017-03-01 10:46:46
fillon,Loguivy-Plougras,2017-03-01 10:47:14
fillon,Stains,2017-03-01 10:47:46
fillon,Paris,2017-03-01 10:48:23
fillon,La Baule-Escoublac,2017-03-01 10:48:29
fillon,Tours,2017-03-01 10:48:33
fillon,Saint-Germain-en-Laye,2017-03-01 10:49:03
fillon,France,2017-03-01 10:49:04
fillon,France,2017-03-01 10:49:15
fillon,La Clusaz,2017-03-01 10:49:19
Macron,La Clusaz,2017-03-01 10:49:19
fillon,Paris,2017-03-01 10:50:00
fillon,Paris,2017-03-01 10:50:38
Macron,Toulouse,2017-03-01 10:51:31
fillon,Menton,2017-03-01 10:51:35
fillon,Paris,2017-03-01 10:53:00
fillon,Marseille,2017-03-01 10:53:19
Macron,Lyon,2017-03-01 10:54:10
fillon,Paris,2017-03-01 10:54:11
Macron,Saint-Sever,2017-03-01 10:54:31
fillon,La Baule-Escoublac,2017-03-01 10:54:35
fillon,Nancy,2017-03-01 10:54:51
fillon,Sahurs,2017-03-01 10:54:55
fillon,Stains,2017-03-01 10:55:16
fillon,Trappes,2017-03-01 10:55:23
Lassalle,Attenschwiller,2017-03-01 10:55:41
fillon,Douai,2017-03-01 10:55:52
fillon,Moulins,2017-03-01 10:56:23
fillon,Moulins,2017-03-01 10:57:16
fillon,Panazol,2017-03-01 10:57:33
fillon,Aulnay-sous-Bois,2017-03-01 10:57:39
fillon,Saint-Médard-de-Guizières,2017-03-01 10:57:42
fillon,Paris,2017-03-01 10:57:45
fillon,Dijon,2017-03-01 10:57:52
fillon,Boulogne-Billancourt,2017-03-01 10:59:40
fillon,Bordeaux,2017-03-01 10:59:53
Macron,Paris,2017-03-01 11:00:18
fillon,Douai,2017-03-01 11:00:29
fillon,Chartres,2017-03-01 11:00:29
fillon,Stains,2017-03-01 11:00:57
fillon,Bordeaux,2017-03-01 11:01:10
fillon,Rennes,2017-03-01 11:01:12
fillon,Corbeil-Essonnes,2017-03-01 11:01:14
fillon,Chasseneuil-du-Poitou,2017-03-01 11:01:28
fillon,Le Perreux-sur-Marne,2017-03-01 11:02:26
fillon,Corme-Ecluse,2017-03-01 11:02:34
fillon,Paris,2017-03-01 11:02:44
fillon,Paris,2017-03-01 11:02:54
fillon,Paris,2017-03-01 11:02:54
fillon,Bourg-la-Reine,2017-03-01 11:03:20
fillon,Maurepas,2017-03-01 11:03:39
fillon,Dijon,2017-03-01 11:03:45
fillon,Paris,2017-03-01 11:04:08
fillon,Paris,2017-03-01 11:04:27
fillon,Paris,2017-03-01 11:04:41
fillon,La Rochelle,2017-03-01 11:05:23
fillon,Rennes,2017-03-01 11:05:31
fillon,Strasbourg,2017-03-01 11:05:39
fillon,Paris,2017-03-01 11:06:13
fillon,Paris,2017-03-01 11:06:27
fillon,Saint-Germain-en-Laye,2017-03-01 11:07:13
fillon,Orsinval,2017-03-01 11:07:28
fillon,Lille,2017-03-01 11:07:40
fillon,Paris,2017-03-01 11:08:02
fillon,Stains,2017-03-01 11:08:09
fillon,Paris,2017-03-01 11:08:11
fillon,Nîmes,2017-03-01 11:08:27
fillon,Paris,2017-03-01 11:08:31
fillon,France,2017-03-01 11:08:58
fillon,Fontenay-sous-Bois,2017-03-01 11:08:58
fillon,Paris,2017-03-01 11:09:30
fillon,Paris,2017-03-01 11:09:32
fillon,La Rochelle,2017-03-01 11:09:43
fillon,Viviers-du-Lac,2017-03-01 11:09:44
fillon,Strasbourg,2017-03-01 11:09:52
fillon,Paris,2017-03-01 11:10:30
fillon,Sahurs,2017-03-01 11:10:41
fillon,Paris,2017-03-01 11:11:02
fillon,Nice,2017-03-01 11:11:12
fillon,Vitry-sur-Seine,2017-03-01 11:11:24
fillon,Paris,2017-03-01 11:12:08
fillon,Stains,2017-03-01 11:12:36
fillon,Paris,2017-03-01 11:13:07
fillon,Paris,2017-03-01 11:13:23
fillon,Roubaix,2017-03-01 11:13:27
fillon,Bordeaux,2017-03-01 11:13:32
fillon,Marseille,2017-03-01 11:13:50
fillon,Paris,2017-03-01 11:13:54
fillon,Nomain,2017-03-01 11:14:35
fillon,Bagnols-sur-Cèze,2017-03-01 11:14:47
fillon,Paris,2017-03-01 11:14:55
fillon,Reims,2017-03-01 11:15:01
fillon,Tours,2017-03-01 11:15:37
fillon,Nîmes,2017-03-01 11:15:37
fillon,Paris,2017-03-01 11:15:42
fillon,Lyon,2017-03-01 11:16:01
fillon,Douai,2017-03-01 11:16:04
fillon,Saint-Germain-en-Laye,2017-03-01 11:16:12
Macron,Loudun,2017-03-01 11:16:32
fillon,Strasbourg,2017-03-01 11:16:44
fillon,Paris,2017-03-01 11:16:50
fillon,Marignane,2017-03-01 11:16:51
fillon,Grenoble,2017-03-01 11:17:06
fillon,Bordeaux,2017-03-01 11:17:07
fillon,Aix-en-Provence,2017-03-01 12:51:54
fillon,Paris,2017-03-01 12:52:07
Macron,Paris,2017-03-01 12:52:07
fillon,Dainville,2017-03-01 12:52:38
fillon,Armentières,2017-03-01 12:52:44
fillon,Boulogne-Billancourt,2017-03-01 12:53:02
fillon,France,2017-03-01 12:53:13
fillon,France,2017-03-01 12:53:16
Macron,France,2017-03-01 12:53:16
Macron,Bezannes,2017-03-01 12:53:19
Hamon,Bezannes,2017-03-01 12:53:19
fillon,Bezannes,2017-03-01 12:54:05
Macron,Bezannes,2017-03-01 12:54:05
fillon,Le Cannet,2017-03-01 12:54:12
fillon,Rennes,2017-03-01 12:54:13
Macron,Nice,2017-03-01 12:54:13
fillon,Paris,2017-03-01 12:54:17
Hamon,Paris,2017-03-01 12:54:17
Melenchon,Paris,2017-03-01 12:54:17
fillon,Paris,2017-03-01 12:54:18
Macron,Caudebec-lès-Elbeuf,2017-03-01 12:54:19
fillon,Paris,2017-03-01 12:54:32
fillon,Paris,2017-03-01 12:54:41
fillon,Nancy,2017-03-01 12:55:00
fillon,Avignon,2017-03-01 12:55:05
fillon,Boulogne-Billancourt,2017-03-01 12:55:19
Macron,Sully,2017-03-01 12:55:28
fillon,Sallanches,2017-03-01 12:55:41
fillon,France,2017-03-01 12:55:49
Macron,France,2017-03-01 12:55:49
fillon,Paris,2017-03-01 12:55:55
fillon,Moulins,2017-03-01 12:56:09
fillon,Bron,2017-03-01 12:56:30
Macron,Bron,2017-03-01 12:56:30
fillon,Gradignan,2017-03-01 12:56:50
fillon,Bourg-Saint-Maurice,2017-03-01 12:56:52
fillon,Paris,2017-03-01 12:56:54
fillon,Château-Rouge,2017-03-01 12:57:01
fillon,Haute-Garonne,2017-03-01 12:57:02
fillon,Armentières,2017-03-01 12:57:04
fillon,Pont-à-Mousson,2017-03-01 12:57:05
fillon,Mamers,2017-03-01 12:57:27
fillon,Poissy,2017-03-01 12:57:29
fillon,Paris,2017-03-01 12:57:44
fillon,Etiolles,2017-03-01 12:57:44
fillon,Paris,2017-03-01 12:57:54
fillon,Paris,2017-03-01 12:57:58
Macron,Toulouse,2017-03-01 12:58:05
Macron,Paris,2017-03-01 12:58:14
fillon,Haute-Garonne,2017-03-01 12:58:49
fillon,Angers,2017-03-01 12:58:56
fillon,Carcassonne,2017-03-01 12:58:57
fillon,Riedisheim,2017-03-01 12:59:06
Macron,Armentières,2017-03-01 12:59:08
Macron,Arras,2017-03-01 12:59:12
fillon,Pessac,2017-03-01 12:59:13
Macron,Moulins,2017-03-01 12:59:16
fillon,France,2017-03-01 12:59:17
Macron,France,2017-03-01 12:59:17
fillon,Bron,2017-03-01 12:59:49
fillon,Charny,2017-03-01 13:00:30
fillon,Carcassonne,2017-03-01 13:00:34
fillon,France,2017-03-01 13:00:34
Macron,France,2017-03-01 13:00:34
fillon,Lyon,2017-03-01 13:00:55
fillon,France,2017-03-01 13:01:04
Macron,France,2017-03-01 13:01:04
Hamon,Metz,2017-03-01 13:01:33
fillon,Midi-Pyrénées,2017-03-01 13:01:34
fillon,Paris,2017-03-01 13:01:39
fillon,Paris,2017-03-01 13:01:56
fillon,Sahurs,2017-03-01 13:01:59
fillon,Neufchâtel-en-Bray,2017-03-01 13:02:00
fillon,Sahurs,2017-03-01 13:02:33
fillon,Rueil-Malmaison,2017-03-01 13:03:24
fillon,Lille,2017-03-01 13:03:28
fillon,Deauville,2017-03-01 13:04:01
fillon,Marseille,2017-03-01 13:04:07
Melenchon,Marseille,2017-03-01 13:04:07
fillon,Talence,2017-03-01 13:04:10
fillon,Neuville-sur-Saône,2017-03-01 13:04:13
Macron,Neuville-sur-Saône,2017-03-01 13:04:13
Hamon,Neuville-sur-Saône,2017-03-01 13:04:13
Melenchon,Paris,2017-03-01 13:05:02
Macron,Armentières,2017-03-01 13:08:55
fillon,Paris,2017-03-01 13:09:03
fillon,Reuil-sur-Brêche,2017-03-01 13:09:15
fillon,Cuers,2017-03-01 13:09:36
Macron,Pau,2017-03-01 13:09:38
fillon,Toulouse,2017-03-01 13:09:46
Macron,Aspremont,2017-03-01 13:09:47
fillon,Lyon,2017-03-01 13:09:47
fillon,Nantes,2017-03-01 13:09:57
Macron,Duras,2017-03-01 13:10:15
fillon,France,2017-03-01 13:10:36
Macron,France,2017-03-01 13:10:36
fillon,Metz,2017-03-01 13:10:39
fillon,Bordeaux,2017-03-01 13:10:44
Macron,Bezannes,2017-03-01 13:10:48
Hamon,Bezannes,2017-03-01 13:10:48
fillon,Paris,2017-03-01 13:11:14
fillon,Paris,2017-03-01 13:11:17
fillon,Saint-Malo,2017-03-01 13:11:29
fillon,Bordeaux,2017-03-01 13:11:51
fillon,France,2017-03-01 13:12:16
fillon,Meyzieu,2017-03-01 13:12:29
Macron,Cachan,2017-03-01 13:12:42
Melenchon,Marseille,2017-03-01 13:12:44
fillon,France,2017-03-01 13:12:52
Macron,France,2017-03-01 13:12:52
fillon,Bron,2017-03-01 13:12:53
fillon,Nice,2017-03-01 13:12:55
fillon,Villejuif,2017-03-01 13:12:58
fillon,Reims,2017-03-01 13:13:24
fillon,Bordeaux,2017-03-01 13:13:29
Lassalle,Fontenay-le-Fleury,2017-03-01 13:13:31
Hamon,Fuveau,2017-03-01 13:13:44
Melenchon,Fuveau,2017-03-01 13:13:44
fillon,Nantes,2017-03-01 13:13:45
fillon,Morlaix,2017-03-01 13:13:52
fillon,Paris,2017-03-01 13:14:06
fillon,Paris,2017-03-01 13:14:06
fillon,Paris,2017-03-01 13:14:13
fillon,Bordeaux,2017-03-01 13:14:17
fillon,Paris,2017-03-01 13:14:21
fillon,Paris,2017-03-01 13:14:28
fillon,France,2017-03-01 13:14:34
Macron,France,2017-03-01 13:14:34
Macron,Armentières,2017-03-01 13:14:42
Macron,Les Mayons,2017-03-01 13:14:58
Macron,Paris,2017-03-01 13:15:20
Macron,Paris,2017-03-01 13:15:27
fillon,Vandoeuvre-lès-Nancy,2017-03-01 13:15:39
fillon,France,2017-03-01 13:15:48
Macron,France,2017-03-01 13:15:48
fillon,Nantes,2017-03-01 13:15:58
Macron,Nantes,2017-03-01 13:15:58
fillon,France,2017-03-01 13:16:02
fillon,Bordeaux,2017-03-01 13:16:08
fillon,Clamart,2017-03-01 13:16:23
fillon,Paris,2017-03-01 13:16:25
Macron,Paris,2017-03-01 13:16:33
fillon,Saint-Germain-en-Laye,2017-03-01 13:16:34
Hamon,Saint-Germain-en-Laye,2017-03-01 13:16:34
Melenchon,Saint-Germain-en-Laye,2017-03-01 13:16:34
Macron,Pau,2017-03-01 13:16:41
fillon,Bron,2017-03-01 13:16:41
Macron,Bezannes,2017-03-01 13:16:53
Macron,Montpellier,2017-03-01 13:17:04
fillon,Carry-le-Rouet,2017-03-01 13:17:08
fillon,L'Isle-Adam,2017-03-01 13:17:16
fillon,Paris,2017-03-01 13:17:23
dupontAignan,Paris,2017-03-01 13:17:23
fillon,Lorient,2017-03-01 13:17:27
fillon,Paris,2017-03-01 13:17:34
fillon,Paris,2017-03-01 13:17:34
Macron,Paris,2017-03-01 13:17:34
fillon,Boulogne-Billancourt,2017-03-01 13:17:40
Macron,Paris,2017-03-01 13:17:41
fillon,Lyon,2017-03-01 13:17:49
Lassalle,Paris,2017-03-01 13:17:50
Macron,Paris,2017-03-01 13:17:50
fillon,Paris,2017-03-01 13:17:53
Lassalle,Digne-les-Bains,2017-03-01 13:17:57
fillon,France,2017-03-01 13:18:00
fillon,Boulogne-Billancourt,2017-03-01 13:18:05
fillon,Marseille,2017-03-01 13:18:25
Macron,Marseille,2017-03-01 13:18:25
Melenchon,Marseille,2017-03-01 13:18:25
fillon,Paris,2017-03-01 13:18:33
dupontAignan,Paris,2017-03-01 13:18:33
fillon,Bordeaux,2017-03-01 13:18:34
fillon,Ile-de-France,2017-03-01 13:18:44
Macron,Saint-Herblain,2017-03-01 13:18:46
fillon,Montpellier,2017-03-01 13:18:50
fillon,Paris,2017-03-01 13:18:52
fillon,France,2017-03-01 13:19:00
fillon,Toulon,2017-03-01 13:19:17
fillon,Bordeaux,2017-03-01 13:19:23
fillon,Vittel,2017-03-01 13:19:32
fillon,Annecy-le-Vieux,2017-03-01 13:19:37
Macron,Armentières,2017-03-01 13:19:58
Hamon,Armentières,2017-03-01 13:19:58
fillon,Paris,2017-03-01 13:20:04
fillon,Paris,2017-03-01 13:20:24
fillon,Boulogne-Billancourt,2017-03-01 13:20:53
Melenchon,Nantes,2017-03-01 13:21:22
fillon,Lyon,2017-03-01 13:21:30
fillon,Evreux,2017-03-01 13:21:39
fillon,Toulon,2017-03-01 13:21:41
Macron,Toulon,2017-03-01 13:21:41
fillon,Ingrandes,2017-03-01 13:21:45
fillon,Nantes,2017-03-01 13:21:59
Hamon,Nantes,2017-03-01 13:21:59
Hamon,Le Mans,2017-03-01 13:22:03
fillon,France,2017-03-01 13:22:04
fillon,Paris,2017-03-01 13:22:12
fillon,Lyon,2017-03-01 13:22:19
fillon,Aytré,2017-03-01 13:22:20
fillon,Pontoise,2017-03-01 13:22:24
fillon,Avrillé,2017-03-01 13:22:24
fillon,France,2017-03-01 13:22:29
Macron,France,2017-03-01 13:22:29
fillon,L'Isle-Adam,2017-03-01 13:22:43
fillon,Sèvres,2017-03-01 13:23:40
Hamon,Aspremont,2017-03-01 13:23:49
fillon,Castelnau-le-Lez,2017-03-01 13:23:54
fillon,Thiais,2017-03-01 13:24:35
Lassalle,Paris,2017-03-01 13:24:36
Macron,Paris,2017-03-01 13:24:36
fillon,France,2017-03-01 13:24:43
fillon,Paris,2017-03-01 13:24:49
fillon,Bordeaux,2017-03-01 13:25:02
fillon,Chasseneuil-du-Poitou,2017-03-01 13:25:21
fillon,Bron,2017-03-01 13:25:39
fillon,Grenay,2017-03-01 13:25:53
fillon,Angers,2017-03-01 13:26:00
fillon,Carquefou,2017-03-01 13:26:07
Macron,Rosny-sous-Bois,2017-03-01 13:26:13
Hamon,Rosny-sous-Bois,2017-03-01 13:26:13
fillon,Lyon,2017-03-01 13:26:26
fillon,Riedisheim,2017-03-01 13:26:34
Macron,Aspremont,2017-03-01 13:26:36
Hamon,Aspremont,2017-03-01 13:26:36
fillon,France,2017-03-01 13:26:38
fillon,Lyon,2017-03-01 13:26:40
fillon,Rosny-sous-Bois,2017-03-01 13:26:43
fillon,Armentières,2017-03-01 13:26:48
fillon,Châtillon,2017-03-01 13:26:58
fillon,Le Cannet,2017-03-01 13:27:05
fillon,Lyon,2017-03-01 13:27:07
Macron,Paris,2017-03-01 13:27:25
Lassalle,Lannion,2017-03-01 13:27:26
fillon,Mont-de-Marsan,2017-03-01 13:27:29
fillon,Nice,2017-03-01 13:27:30
fillon,Lyon,2017-03-01 13:27:32
fillon,Nantes,2017-03-01 13:27:38
fillon,Villarembert,2017-03-01 13:27:41
fillon,Valeille,2017-03-01 13:28:04
fillon,Lyon,2017-03-01 13:28:05
fillon,Morlaix,2017-03-01 13:28:11
fillon,France,2017-03-01 13:28:16
Macron,France,2017-03-01 13:28:16
fillon,Nord-Pas-de-Calais,2017-03-01 13:28:22
fillon,Paris,2017-03-01 13:28:31
fillon,Lyon,2017-03-01 13:28:35
fillon,Paris,2017-03-01 13:28:45
fillon,Paris,2017-03-01 13:28:55
fillon,Bron,2017-03-01 13:28:58
fillon,Marseille,2017-03-01 13:29:01
Melenchon,Marseille,2017-03-01 13:29:01
fillon,Issy-les-Moulineaux,2017-03-01 13:29:05
fillon,Guérande,2017-03-01 13:29:05
Hamon,Pontoise,2017-03-01 13:29:34
Melenchon,Pontoise,2017-03-01 13:29:34
fillon,Valentigney,2017-03-01 13:29:36
fillon,Paris,2017-03-01 13:29:39
fillon,Lyon,2017-03-01 13:29:44
fillon,Paris,2017-03-01 13:29:48
fillon,Lannion,2017-03-01 13:29:50
fillon,Pruniers-en-Sologne,2017-03-01 13:29:58
fillon,Marseille,2017-03-01 13:30:16
Melenchon,Marseille,2017-03-01 13:30:16
fillon,Bordeaux,2017-03-01 13:30:17
fillon,Paris,2017-03-01 13:30:17
fillon,Stains,2017-03-01 13:30:26
Hamon,Meylan,2017-03-01 13:30:33
fillon,Paris,2017-03-01 13:30:40
fillon,Avignon,2017-03-01 13:30:44
fillon,Goussainville,2017-03-01 13:30:49
fillon,Margny-lès-Compiègne,2017-03-01 13:30:55
Macron,Marseille,2017-03-01 13:31:04
Hamon,Marseille,2017-03-01 13:31:04
fillon,Paris,2017-03-01 13:31:09
fillon,Avignon,2017-03-01 13:31:22
fillon,Ile-de-France,2017-03-01 13:31:23
fillon,France,2017-03-01 13:31:24
fillon,Lyon,2017-03-01 13:31:28
fillon,Cannes,2017-03-01 13:32:04
fillon,Nice,2017-03-01 13:32:06
Macron,Nice,2017-03-01 13:32:06
fillon,Nice,2017-03-01 13:32:07
Macron,Nice,2017-03-01 13:32:07
fillon,France,2017-03-01 13:32:07
fillon,Rennes,2017-03-01 13:32:10
fillon,Camon,2017-03-01 13:32:16
fillon,Châtillon,2017-03-01 13:32:40
fillon,Bron,2017-03-01 13:32:43
fillon,Toulouse,2017-03-01 13:32:44
fillon,Paris,2017-03-01 13:32:45
fillon,France,2017-03-01 13:32:46
fillon,Pontoise,2017-03-01 13:32:50
fillon,Lyon,2017-03-01 13:32:55
fillon,Frouville,2017-03-01 13:32:57
fillon,Paris,2017-03-01 13:33:21
fillon,Paris,2017-03-01 13:33:21
fillon,France,2017-03-01 13:33:25
fillon,France,2017-03-01 13:33:47
fillon,Le Cannet,2017-03-01 13:33:51
Melenchon,Le Cannet,2017-03-01 13:33:51
fillon,Montpellier,2017-03-01 13:34:01
fillon,Agen,2017-03-01 13:34:05
fillon,France,2017-03-01 13:34:09
fillon,Lizy-sur-Ourcq,2017-03-01 13:34:10
fillon,Epinay-sur-Seine,2017-03-01 13:34:21
fillon,Toulouse,2017-03-01 13:34:33
fillon,Amiens,2017-03-01 13:34:35
Lassalle,La Rochelle,2017-03-01 13:34:42
Macron,La Rochelle,2017-03-01 13:34:42
fillon,Paris,2017-03-01 13:34:42
fillon,Haute-Corse,2017-03-01 13:35:02
fillon,Avignon,2017-03-01 13:35:25
Lassalle,Avignon,2017-03-01 13:35:25
Melenchon,Avignon,2017-03-01 13:35:25
fillon,Lyon,2017-03-01 13:35:26
fillon,Paris,2017-03-01 13:35:27
fillon,France,2017-03-01 13:35:36
Macron,Aubagne,2017-03-01 13:35:48
fillon,Metz,2017-03-01 13:36:00
Hamon,Tours,2017-03-01 13:36:00
Melenchon,Tours,2017-03-01 13:36:00
fillon,Saint-Médard-de-Guizières,2017-03-01 13:36:02
fillon,Les Mayons,2017-03-01 13:36:11
Macron,Les Mayons,2017-03-01 13:36:11
fillon,Saint-Herblain,2017-03-01 13:36:15
fillon,Le Cannet,2017-03-01 13:36:16
Melenchon,Le Cannet,2017-03-01 13:36:16
fillon,Thiers,2017-03-01 13:36:35
fillon,Vittel,2017-03-01 13:36:37
fillon,France,2017-03-01 13:36:44
fillon,Nantes,2017-03-01 13:36:46
fillon,Saint-Médard-de-Guizières,2017-03-01 13:36:52
fillon,Haute-Garonne,2017-03-01 13:36:55
Macron,Haute-Garonne,2017-03-01 13:36:55
fillon,Périgueux,2017-03-01 13:37:04
